"","MSSubClass","MSZoning","LotArea","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice"
"1",2,1,8450,1,1,1,1,2,1,1,3,2,7,5,2003,2003,2,2,2,2,2,2,1,1,2,706,1,0,150,856,2,2,2,856,854,0,1710,0,2,1,3,1,2,8,2,0,2,2003,2,2,548,2,2,2,0,61,0,0,0,0,0,1,2008,208500
"2",2,1,9600,1,1,1,1,2,1,1,3,1,6,8,1976,1976,1,1,1,2,2,2,1,3,2,978,1,0,284,1262,2,2,2,1262,0,0,1262,1,2,0,3,1,2,6,2,1,2,1976,2,2,460,2,2,2,298,0,0,0,0,0,0,1,2007,181500
"3",2,1,11250,1,1,1,1,2,1,1,3,2,7,5,2001,2002,2,2,2,2,2,2,1,2,2,486,1,0,434,920,2,2,2,920,866,0,1786,0,2,1,3,1,2,6,2,1,2,2001,2,2,608,2,2,2,0,42,0,0,0,0,0,1,2008,223500
"4",1,1,9550,1,1,1,1,2,1,1,3,2,7,5,1915,1970,1,1,1,2,2,1,2,1,2,216,1,0,540,756,2,2,2,961,756,0,1717,0,1,0,3,1,2,7,2,1,2,1998,1,3,642,2,2,2,0,35,272,0,0,0,0,1,2006,140000
"5",2,1,14260,1,1,1,1,2,1,1,3,2,8,5,2000,2000,2,2,2,2,2,2,1,2,2,655,1,0,490,1145,2,2,2,1145,1053,0,2198,0,2,1,4,1,2,9,2,1,2,2000,2,3,836,2,2,2,192,84,0,0,0,0,0,1,2008,250000
"6",2,1,14115,1,1,1,1,2,1,1,3,1,5,5,1993,1995,2,2,1,2,2,2,1,1,2,732,1,0,64,796,2,2,2,796,566,0,1362,0,1,1,1,1,2,5,2,0,2,1993,1,2,480,2,2,2,40,30,0,320,0,0,700,1,2009,143000
"7",2,1,10084,1,1,1,1,2,1,1,3,1,8,5,2004,2005,2,2,2,2,2,2,1,2,2,1369,1,0,317,1686,2,2,2,1694,0,0,1694,0,2,0,3,1,2,7,2,1,2,2004,2,2,636,2,2,2,255,57,0,0,0,0,0,1,2007,307000
"8",2,1,10382,1,1,1,1,2,2,1,3,2,7,6,1973,1973,1,1,2,2,2,2,1,2,2,859,2,32,216,1107,2,2,2,1107,983,0,2090,0,2,1,3,1,2,7,2,2,2,1973,2,2,484,2,2,2,235,204,228,0,0,0,350,1,2009,200000
"9",2,1,6120,1,1,1,1,2,1,1,3,1,7,5,1931,1950,2,1,1,2,2,1,1,1,1,0,1,0,952,952,2,2,2,1022,752,0,1774,0,2,0,2,2,2,8,2,2,2,1931,1,2,468,2,2,2,90,0,205,0,0,0,0,1,2008,129900
"10",2,1,7420,1,1,1,1,2,1,1,2,1,5,6,1939,1950,1,1,1,2,2,1,1,1,2,851,1,0,140,991,2,2,2,1077,0,0,1077,0,1,0,2,2,2,5,2,2,2,1939,2,1,205,2,2,2,0,4,0,0,0,0,0,1,2008,118000
