"","MSSubClass","MSZoning","LotArea","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice"
"1",2,2,0.845,2,2,2,2,2,1,1,2,2,2,1,2.003,2.003,2,2,2,2,1.5,2,1.5,1,2,0.706,1,0,0.15,0.856,2,2,2,0.856,0.854,0,1.71,0,2,1,3,1,2,8,2,0,2,2.003,1.5,2,0.548,1.5,1.5,2,0,0.061,0,0,0,0,0,1,2.008,208500
"2",2,2,0.96,2,2,2,2,2,1,1,2,1.5,2,3,1.976,1.976,1,1,1,1.5,1.5,2,1.5,3,2,0.978,1,0,0.284,1.262,2,2,2,1.262,0,0,1.262,1,2,0,3,1,1.5,6,2,1,2,1.976,1.5,2,0.46,1.5,1.5,2,0.298,0,0,0,0,0,0,1.5,2.007,181500
"3",2,2,1.125,2,2,2,2,2,1,1,2,2,2,1,2.001,2.002,2,2,2,2,1.5,2,1.5,2,2,0.486,1,0,0.434,0.92,2,2,2,0.92,0.866,0,1.786,0,2,1,3,1,2,6,2,1,2,2.001,1.5,2,0.608,1.5,1.5,2,0,0.042,0,0,0,0,0,2,2.008,223500
"4",1,2,0.955,2,2,2,2,2,1,1,2,2,2,1,1.915,1.97,1,1,1,1.5,1.5,1.5,2,1,2,0.216,1,0,0.54,0.756,2,2,2,0.961,0.756,0,1.717,0,1,0,3,1,2,7,2,1,2,1.998,1,3,0.642,1.5,1.5,2,0,0.035,272,0,0,0,0,1,2.006,140000
"5",2,2,1.426,2,2,2,2,2,1,1,2,2,3,1,2,2,2,2,2,2,1.5,2,1.5,2,2,0.655,1,0,0.49,1.145,2,2,2,1.145,1.053,0,2.198,0,2,1,4,1,2,9,2,1,2,2,1.5,3,0.836,1.5,1.5,2,0.192,0.084,0,0,0,0,0,1.5,2.008,250000
"6",2,2,1.4115,2,2,2,2,2,1,1,2,1.5,1,1,1.993,1.995,2,2,1,1.5,1.5,2,1.5,1,2,0.732,1,0,0.064,0.796,2,2,2,0.796,0.566,0,1.362,0,1,1,1,1,1.5,5,2,0,2,1.993,1,2,0.48,1.5,1.5,2,0.04,0.03,0,0.32,0,0,0.7,1.5,2.009,143000
"7",2,2,1.0084,2,2,2,2,2,1,1,2,1.5,3,1,2.004,2.005,2,2,2,2,1.5,2,1.5,2,2,1.369,1,0,0.317,1.686,2,2,2,1.694,0,0,1.694,0,2,0,3,1,2,7,2,1,2,2.004,1.5,2,0.636,1.5,1.5,2,0.255,0.057,0,0,0,0,0,2,2.007,307000
"8",2,2,1.0382,2,2,2,2,2,2,1,2,2,2,2,1.973,1.973,1,1,2,1.5,1.5,2,1.5,2,2,0.859,2,0.032,0.216,1.107,2,2,2,1.107,0.983,0,2.09,0,2,1,3,1,1.5,7,2,2,2,1.973,1.5,2,0.484,1.5,1.5,2,0.235,0.204,228,0,0,0,0.35,1.5,2.009,200000
"9",2,2,0.612,2,2,2,2,2,1,1,2,1.5,2,1,1.931,1.95,2,1,1,1.5,1.5,1.5,1.5,1,1,0,1,0,0.952,0.952,2,2,2,1.022,0.752,0,1.774,0,2,0,2,2,1.5,8,2,2,2,1.931,1,2,0.468,1.5,1.5,2,0.09,0,205,0,0,0,0,1.5,2.008,129900
"10",2,2,0.742,2,2,2,2,2,1,1,1.5,1.5,1,2,1.939,1.95,1,1,1,1.5,1.5,1.5,1.5,1,2,0.851,1,0,0.14,0.991,2,2,2,1.077,0,0,1.077,0,1,0,2,2,1.5,5,2,2,2,1.939,1.5,1,0.205,2,1.5,2,0,0.004,0,0,0,0,0,1,2.008,118000
"11",2,2,1.12,2,2,2,2,2,1,1,2,1.5,1,1,1.965,1.965,1,1,1,1.5,1.5,1.5,1.5,1,2,0.906,1,0,0.134,1.04,2,2,2,1.04,0,0,1.04,0,1,0,3,1,1.5,5,2,0,2,1.965,1,1,0.384,1.5,1.5,2,0,0,0,0,0,0,0,1,2.008,129500
"12",2,2,1.1924,2,2,2,2,2,1,1,2,2,3,1,2.005,2.006,1,1,2,2,1.5,2,1.5,1,2,0.998,1,0,0.177,1.175,2,2,2,1.182,1.142,0,2.324,0,3,0,4,1,2,11,2,2,2,2.005,2,3,0.736,1.5,1.5,2,0.147,0.021,0,0,0,0,0,2,2.006,345000
"13",2,2,1.2968,2,2,2,2,2,1,1,2,1.5,1,2,1.962,1.962,1,2,1,1.5,1.5,1.5,1.5,1,2,0.737,1,0,0.175,0.912,2,1.5,2,0.912,0,0,0.912,0,1,0,2,1,1.5,4,2,0,2,1.962,1,1,0.352,1.5,1.5,2,0.14,0,0,0,0.176,0,0,2,2.008,144000
"14",2,2,1.0652,2,2,2,2,2,1,1,2,1.5,2,1,2.006,2.007,2,2,2,2,1.5,2,1.5,2,1,0,1,0,1.494,1.494,2,2,2,1.494,0,0,1.494,0,2,0,3,1,2,7,2,1,2,2.006,1.5,3,0.84,1.5,1.5,2,0.16,0.033,0,0,0,0,0,2,2.007,279500
"15",2,2,1.092,2,2,2,2,1,1,1,2,1.5,2,1,1.96,1.96,1,1,2,1.5,1.5,1.5,1.5,1,2,0.733,1,0,0.52,1.253,2,1.5,2,1.253,0,0,1.253,0,1,1,2,1,1.5,5,2,1,2,1.96,1.5,1,0.352,1.5,1.5,2,0,0.213,176,0,0,0,0,1.5,2.008,157000
"16",2,2,0.612,2,2,2,2,2,1,1,2,1.5,2,3,1.929,2.001,1,1,1,1.5,1.5,1.5,1.5,1,1,0,1,0,0.832,0.832,2,2,2,0.854,0,0,0.854,0,1,0,2,1,1.5,5,2,0,2,1.991,1,2,0.576,1.5,1.5,2,0.048,0.112,0,0,0,0,0,2,2.007,132000
"17",2,2,1.1241,2,2,3,2,1,1,1,2,1.5,2,2,1.97,1.97,1,1,2,1.5,1.5,1.5,1.5,1,2,0.578,1,0,0.426,1.004,2,2,2,1.004,0,0,1.004,0,1,0,2,1,1.5,5,2,1,2,1.97,2,2,0.48,1.5,1.5,2,0,0,0,0,0,0,0.7,1,2.01,149000
"18",2,2,1.0791,2,2,2,2,2,1,1,1.5,1.5,1,1,1.967,1.967,1,1,1,1.5,1.5,1.5,1,1,1,0,1,0,0,0,2,1.5,2,1.296,0,0,1.296,0,2,0,2,2,1.5,6,2,0,1.5,1.967,1,2,0.516,1.5,1.5,2,0,0,0,0,0,0,0.5,1.5,2.006,90000
"19",2,2,1.3695,2,2,2,2,1,0,1,2,1.5,1,1,2.004,2.004,2,2,1,1.5,1.5,1.5,1.5,1,2,0.646,1,0,0.468,1.114,2,2,2,1.114,0,0,1.114,0,1,1,3,1,2,6,2,0,2,2.004,1,2,0.576,1.5,1.5,2,0,0.102,0,0,0,0,0,1.5,2.008,159000
"20",2,2,0.756,2,2,2,2,1,1,1,2,1.5,1,2,1.958,1.965,2,2,1,1.5,1.5,1.5,1.5,1,1,0.504,1,0,0.525,1.029,2,1.5,2,1.339,0,0,1.339,0,1,0,3,1,1.5,6,2,0,2,1.958,1,1,0.294,1.5,1.5,2,0,0,0,0,0,0,0,1.5,2.009,139000
"21",2,2,1.4215,2,2,2,2,2,1,1,2,2,3,1,2.005,2.006,2,2,2,2,1.5,2,1.5,2,1,0,1,0,1.158,1.158,2,2,2,1.158,1.218,0,2.376,0,3,1,4,1,2,9,2,1,2,2.005,1.5,3,0.853,1.5,1.5,2,0.24,0.154,0,0,0,0,0,1.5,2.006,325300
